"Time (s)","Acceleration (m/s²)"
5.974083336E-2,1.481676260E-1
9.982983337E-2,-1.363673016E-1
1.399188333E-1,-2.874378656E-1
1.800088334E-1,-5.807689936E-1
2.200978334E-1,-7.390705168E-2
2.601868333E-1,1.621864133E-1
3.002758333E-1,4.003579786E-1
3.403658334E-1,1.832705958E-1
3.804548333E-1,9.133204669E-3
4.205438333E-1,7.292355001E-3
4.606338334E-1,-9.038041234E-3
5.007228333E-1,-2.416524129E-1
5.408122084E-1,-1.146592212E-1
5.809022083E-1,4.012967491E-1
6.209912084E-1,-2.411942835E-1
6.610802084E-1,-2.903892477E-1
7.011692083E-1,-2.587319836E-1
7.412592084E-1,-2.939392385E-1
7.813482084E-1,-1.585978308E-1
8.214372083E-1,-3.841620684E-4
8.615272084E-1,2.132193035E-1
9.016162084E-1,-1.216336338E-1
9.417052083E-1,-2.105281225E-1
9.817942083E-1,1.915753962E-1
1.021884208E0,-1.060588440E-1
1.061973208E0,-1.940426289E-1
1.102062208E0,9.633872509E-2
1.142152208E0,2.972139716E-2
1.182241208E0,-3.497229914E-1
1.222330208E0,-1.511568104E-1
1.262420208E0,8.409831002E-2
1.302509208E0,-4.423184752E-2
1.342598208E0,1.660506919E-2
1.382688208E0,-7.557847828E-2
1.422777208E0,-1.541690035E-1
1.462866208E0,1.484198749E-2
1.502955208E0,2.159318268E-1
1.543044708E0,1.696692413E-1
1.583133708E0,3.019510934E-1
1.623222708E0,3.119379915E-1
1.663312708E0,1.914129898E-2
1.703401708E0,-2.185459708E-1
1.743490708E0,-1.884076671E-1
1.783579708E0,-1.467531261E-1
1.823669708E0,3.847726639E-1
1.863758708E0,2.881579502E-1
1.903847708E0,1.191399425E-1
1.943937708E0,2.609537794E-1
1.984026708E0,1.414295286E-1
2.024115708E0,-1.595386478E-1
2.064204708E0,-2.239721869E-1
2.104294708E0,-4.173299606E-1
2.144383708E0,-1.400393531E-1
2.184472708E0,1.377997233E-1
2.224562708E0,8.922748759E-2
2.264651708E0,-2.491405034E-1
2.304740708E0,-1.258331041E-1
2.344829708E0,1.302610543E-1
2.384919708E0,-9.757658064E-2
2.425008708E0,-4.123323454E-1
2.465097708E0,-4.444929086E-1
2.505187708E0,-4.173353693E-1
2.545277208E0,-8.210440949E-2
2.585366208E0,6.883441669E-1
2.625455208E0,8.332220909E-1
2.665545208E0,2.933536398E-1
2.705634208E0,-3.063882530E-1
2.745723208E0,-6.554303361E-1
2.785813208E0,-6.997558853E-1
2.825902208E0,1.354754551E-1
2.865991208E0,8.156991550E-1
2.906080208E0,3.129190081E-1
2.946170208E0,-2.471919188E-1
2.986259208E0,-3.932813859E-1
3.026348208E0,-6.032151389E-1
3.066437208E0,-2.740071036E-1
3.106527208E0,4.581088811E-2
3.146616208E0,4.478148580E-2
3.186705208E0,1.614869401E-1
3.226795208E0,2.893099979E-2
3.266884208E0,-1.156188954E-1
3.306973208E0,6.195124984E-4
3.347062208E0,3.076648463E-1
3.387152208E0,1.068316998E-1
3.427241208E0,-9.470121235E-2
3.467330208E0,1.306133491E-1
3.507419208E0,-5.385797247E-2
3.547509708E0,-3.125409856E-1
3.587598708E0,-2.845983115E-1
3.627687708E0,9.998709530E-2
3.667777708E0,7.000345051E-2
3.707866708E0,1.882323968E-1
3.747955708E0,2.046480162E-1
3.788044708E0,-4.176595974E-1
3.828134708E0,-4.059790532E-1
3.868223708E0,1.587869883E-2
3.908312708E0,5.059434906E-2
3.948401708E0,5.585567370E-2
3.988491708E0,9.315243110E-2
4.028580708E0,-3.877756476E-2
4.068669708E0,-2.772017299E-1
4.108759708E0,-3.395215005E-1
4.148848708E0,-3.183311909E-2
4.188937708E0,-2.539007217E-2
4.229026708E0,-3.652667910E-2
4.269116708E0,-8.475056693E-2
4.309205708E0,5.189886287E-2
4.349294708E0,-2.442645103E-2
4.389383708E0,3.069013461E-2
4.429473708E0,1.047997923E-1
4.469562708E0,2.987093970E-2
4.509651708E0,-1.663230260E-1
4.549740000E0,-4.651065364E-2
4.589830000E0,-2.350683019E-2
4.629919000E0,-1.680795296E-1
4.670008000E0,-1.011319801E-2
4.710097000E0,1.088057198E-1
4.750187000E0,1.236405444E-1
4.790276000E0,-8.710129380E-2
4.830365000E0,2.549883038E-1
4.870455000E0,3.813594979E-1
4.910544000E0,2.467831984E-1
4.950633000E0,1.826499139E-1
4.990722000E0,-6.131404951E-2
5.030812000E0,-4.494259121E-1
5.070901000E0,4.025954157E-3
5.110990000E0,-4.410380812E-1
5.151079000E0,-6.404497696E-1
5.191169000E0,-2.967539419E-1
5.231258000E0,-1.342725366E-1
5.271347000E0,-3.552958265E-2
5.311436000E0,9.281162614E-1
5.351526000E0,8.870705616E-1
5.391615000E0,3.020925960E-1
5.431704000E0,-1.539069313E0
5.471793000E0,-2.533037063E0
5.511883000E0,8.096168813E-1
5.551972125E0,-2.614474306E-1
5.592061125E0,3.854864627E-2
5.632150125E0,4.014155938E-1
5.672240125E0,3.791138747E-1
5.712329125E0,2.423382913E-1
5.752418125E0,-1.700824933E-1
5.792508125E0,-1.830337836E-1
5.832597125E0,2.635062352E-2
5.872686125E0,-8.248564795E-2
