"Time (ms)";"Recording (a.u.)"
0.000000000E0;4.257072287E-4
2.083412250E-2;8.273351123E-4
4.166824501E-2;1.085401978E-3
6.250236751E-2;1.382395625E-3
8.333649002E-2;1.813629409E-3
1.041706125E-1;2.425108803E-3
1.250047350E-1;3.041026648E-3
1.458388575E-1;3.375645261E-3
1.666729800E-1;3.693860956E-3
1.875071025E-1;4.023641348E-3
2.083412250E-1;4.171894398E-3
2.291753476E-1;4.301769659E-3
2.500094701E-1;4.395357333E-3
2.708435926E-1;4.629363772E-3
2.916777151E-1;5.031082779E-3
3.125118376E-1;5.406034179E-3
3.333459601E-1;5.694561638E-3
3.541800826E-1;5.614693742E-3
3.750142051E-1;5.407247692E-3
3.958483276E-1;5.309048574E-3
4.166824501E-1;5.140115041E-3
4.375165726E-1;5.017229356E-3
4.583506951E-1;4.877713043E-3
4.791848176E-1;4.659047350E-3
5.000189401E-1;4.519965500E-3
5.208530626E-1;4.445084371E-3
5.416871851E-1;4.304819740E-3
5.625213076E-1;4.062993452E-3
5.833554301E-1;3.792634699E-3
6.041895526E-1;3.551275935E-3
6.250236751E-1;3.370374907E-3
6.458577976E-1;3.179844934E-3
6.666919201E-1;2.929576673E-3
6.875260427E-1;2.688081004E-3
7.083601652E-1;2.455994021E-3
7.291942877E-1;2.192687476E-3
7.500284102E-1;1.893554348E-3
7.708625327E-1;1.615723013E-3
7.916966552E-1;1.401690301E-3
8.125307777E-1;1.150184311E-3
8.333649002E-1;7.154641207E-4
8.541990227E-1;1.776380814E-4
8.750331452E-1;-1.555218187E-4
8.958672677E-1;-2.376822667E-4
9.167013902E-1;-2.436251089E-4
9.375355127E-1;-2.563601593E-4
9.583696352E-1;-2.299031476E-4
9.792037577E-1;-2.033741621E-4
1.000037880E0;-5.372841842E-4
1.020872003E0;-1.093251514E-3
1.041706125E0;-1.491500065E-3
1.062540248E0;-1.768825809E-3
1.083374370E0;-1.874976675E-3
1.104208493E0;-2.021546243E-3
1.125042615E0;-2.140104305E-3
1.145876738E0;-1.967193093E-3
1.166710860E0;-1.903058263E-3
1.187544983E0;-1.876028371E-3
1.208379105E0;-1.785266213E-3
1.229213228E0;-1.849719789E-3
1.250047350E0;-1.855810755E-3
1.270881473E0;-1.787120476E-3
1.291715595E0;-1.541826874E-3
1.312549718E0;-1.267600572E-3
1.333383840E0;-1.368663507E-3
1.354217963E0;-1.439080341E-3
1.375052085E0;-1.409797929E-3
1.395886208E0;-1.614487614E-3
1.416720330E0;-1.940413495E-3
1.437554453E0;-2.289378783E-3
1.458388575E0;-2.552587073E-3
1.479222698E0;-2.638957696E-3
1.500056820E0;-2.473417902E-3
1.520890943E0;-2.141354140E-3
1.541725065E0;-1.870440785E-3
1.562559188E0;-1.785569941E-3
1.583393310E0;-2.039219718E-3
1.604227433E0;-2.314348705E-3
1.625061555E0;-2.427356318E-3
1.645895678E0;-2.615823410E-3
1.666729800E0;-2.709396416E-3
1.687563923E0;-2.776104491E-3
1.708398045E0;-2.841224894E-3
1.729232168E0;-2.754336689E-3
1.750066290E0;-2.884268295E-3
1.770900413E0;-3.126400989E-3
1.791734535E0;-3.185950220E-3
1.812568658E0;-3.286556108E-3
1.833402780E0;-3.407116979E-3
1.854236903E0;-3.478732426E-3
1.875071025E0;-3.518312937E-3
1.895905148E0;-3.522349754E-3
1.916739270E0;-3.686482087E-3
1.937573393E0;-3.844748251E-3
1.958407515E0;-3.768816357E-3
1.979241638E0;-3.704546252E-3
2.000075760E0;-3.600962227E-3
2.020909883E0;-3.304234939E-3
2.041744005E0;-3.054642119E-3
2.062578128E0;-2.962694503E-3
2.083412250E0;-3.019189229E-3
2.104246373E0;-3.064153017E-3
2.125080495E0;-2.840010449E-3
2.145914618E0;-2.582163783E-3
2.166748740E0;-2.506102435E-3
2.187582863E0;-2.376077231E-3
2.208416985E0;-2.018967876E-3
2.229251108E0;-1.554996939E-3
2.250085231E0;-1.081102528E-3
2.270919353E0;-5.836600903E-4
2.291753476E0;-3.154804290E-4
2.312587598E0;-1.480251813E-4
2.333421721E0;7.637913222E-5
2.354255843E0;1.265077590E-4
2.375089966E0;3.186372342E-4
2.395924088E0;5.331239663E-4
2.416758211E0;6.547937519E-4
2.437592333E0;9.487035568E-4
2.458426456E0;9.687162237E-4
2.479260578E0;8.295733714E-4
2.500094701E0;6.633889861E-4
2.520928823E0;4.226145102E-4
2.541762946E0;6.163325161E-4
2.562597068E0;9.559387108E-4
2.583431191E0;1.012745895E-3
2.604265313E0;9.067032370E-4
2.625099436E0;8.495256188E-4
2.645933558E0;8.914722712E-4
2.666767681E0;9.245214751E-4
2.687601803E0;1.117520733E-3
2.708435926E0;1.348617254E-3
2.729270048E0;1.492056996E-3
2.750104171E0;1.597506925E-3
2.770938293E0;1.535111573E-3
2.791772416E0;1.533704577E-3
2.812606538E0;1.613544533E-3
2.833440661E0;1.634585438E-3
2.854274783E0;1.725867041E-3
2.875108906E0;1.840493176E-3
2.895943028E0;1.928426442E-3
2.916777151E0;1.931672799E-3
2.937611273E0;1.838332741E-3
2.958445396E0;1.766952686E-3
2.979279518E0;1.641834388E-3
3.000113641E0;1.357409637E-3
3.020947763E0;1.194312936E-3
3.041781886E0;1.331171254E-3
3.062616008E0;1.419095788E-3
3.083450131E0;1.374755986E-3
3.104284253E0;1.248135697E-3
3.125118376E0;9.670472355E-4
3.145952498E0;6.673972239E-4
3.166786621E0;2.870899916E-4
3.187620743E0;-7.502063818E-5
3.208454866E0;-3.400104470E-4
3.229288988E0;-6.099026650E-4
3.250123111E0;-6.840500864E-4
3.270957233E0;-6.920410669E-4
3.291791356E0;-6.017605774E-4
3.312625478E0;-3.798414837E-4
3.333459601E0;-3.404131858E-4
3.354293723E0;-3.374893859E-4
3.375127846E0;-4.423063365E-4
3.395961968E0;-5.888161249E-4
3.416796091E0;-6.477275165E-4
3.437630213E0;-8.887415752E-4
3.458464336E0;-1.132504316E-3
3.479298458E0;-1.377800480E-3
3.500132581E0;-1.594052650E-3
3.520966703E0;-1.619397663E-3
3.541800826E0;-1.673043007E-3
3.562634948E0;-1.740889275E-3
3.583469071E0;-1.911237370E-3
3.604303193E0;-2.174824476E-3
3.625137316E0;-2.416415373E-3
3.645971438E0;-2.703358885E-3
3.666805561E0;-2.915578894E-3
3.687639683E0;-3.090926213E-3
3.708473806E0;-3.046917263E-3
3.729307928E0;-2.773126587E-3
3.750142051E0;-2.666520188E-3
3.770976173E0;-2.673626877E-3
3.791810296E0;-2.695113420E-3
3.812644418E0;-2.650659531E-3
3.833478541E0;-2.635853831E-3
3.854312663E0;-2.586253453E-3
3.875146786E0;-2.270882018E-3
